question_id,sweep,arm,budget,context,predicted_answer,gold_answer,em,f1,faithfulness,answer_relevance,human_faithfulness,human_agrees
mhrag_1084,primary,naive_topk_dedup,2000,,Sam Bankman-Fried,"[""Sam Bankman-Fried""]",1,1.0,1.0,1.0,,
squad_56dde0ba66d3e219004dad75,primary,compress_llmlingua,1000,,The context provided does not contain information about the founding of the Duchy of Normandy.,"[""911"", ""911"", ""911""]",0,0.0,0.0,0.0,,
wtq_test_nt-5543,structured,naive_topk,500,,'91-'95 U13 Bluebird,"[""'97-'01 W11 Avenir GT4""]",0,0.0,0.0,0.0,,
mhrag_593,primary,summarize_recomp,4000,,Yes,"[""Yes""]",1,1.0,1.0,1.0,,
hotpot_5adec7925542995534e8c70d,primary,graph_select,500,,Intelligent Design: The Bridge Between Science and Theology,"[""Intelligent Design""]",0,0.4444,1.0,1.0,,
msmarco_1090930,primary,naive_topk,4000,,$81.61,"[""On February 12, 2018, BIV opened at $81.59, traded as high as $81.69 and as low as $81.52, and closed at $81.62.On February 13, 2018, BIV opened at $81.61, traded as high as $81.67 and as low as $81.50, and closed at $81.61.""]",0,0.0455,1.0,1.0,,
mhrag_1807,primary,naive_topk_dedup,1000,,Google,"[""Google""]",1,1.0,1.0,1.0,,
wtq_test_nu-1661,structured,naive_topk_dedup,500,,Corey Pavin,"[""Corey Pavin""]",1,1.0,1.0,1.0,,
wtq_test_nt-5446,structured,naive_topk,1000,,Urho Kekkonen,"[""Walter Gilbert Campbell""]",0,0.0,1.0,1.0,,
hotpot_5ab6988a554299710c8d1edc,primary,rerank_topk,500,,Metropolitan Life Insurance Company Tower,"[""Metropolitan Life Insurance Company Tower""]",1,1.0,1.0,1.0,,
liverag_800,primary,compress_llmlingua,500,,No,"[""No, the LTC1563 does not require a clock signal as it is a continuous time filter with no signal sampling or clock requirements.""]",0,0.0952,0.0,1.0,,
wtq_test_nt-6959,structured,compress_llmlingua,4000,,Strosacker Hall,"[""Strosacker Hall""]",1,1.0,0.0,0.0,,
wtq_test_nt-11354,structured,summarize_recomp,1000,,Real Madrid,"[""Boston Celtics""]",0,0.0,0.0,1.0,,
wtq_test_nt-10620,structured,naive_topk,2000,,6.26% of the vote but only one parliamentary seat. The party soon fizzled out and was absorbed into the United Party.,"[""11,427,355""]",0,0.0,1.0,1.0,,
mhrag_1600,primary,compress_llmlingua,500,,Sporting News,"[""The Roar | Sports Writers Blog""]",0,0.0,0.0,1.0,,
wtq_test_nt-12405,structured,naive_topk_dedup,4000,,Netherlands,"[""Spain""]",0,0.0,1.0,1.0,,
wtq_test_nt-3028,structured,rerank_topk,4000,,Joe Alt,"[""Paul Ames""]",0,0.0,0.0,0.0,,
wtq_test_nt-363,structured,naive_topk,1000,,Kati Wilhelm,"[""Silvia Sperber (FRG)""]",0,0.0,0.0,0.0,,
squad_5711488ab654c5140001fc41,primary,graph_select,500,,Power,"[""expansion"", ""expansion"", ""expansion""]",0,0.0,0.0,0.0,,
mhrag_2071,primary,summarize_recomp,2000,,No,"[""no""]",1,1.0,1.0,1.0,,
msmarco_1039312,primary,naive_topk,500,,"Warm, neutral, and inviting color schemes with shades of brown, beige, taupe, and soft pinks.","[""Marigold, the lightest pink or salmon colors are for Cozy living room.""]",0,0.0,1.0,1.0,,
msmarco_1095572,primary,naive_topk,1000,,7 million,"[""There are 3 Million people die for air pollution every year.""]",0,0.1538,1.0,1.0,,
