question_id,dataset,question,gold_answers,hop_type,content_type,gold_titles,gold_passages,n_supporting_facts,gold_passage_ids
hotpot_5a778ce55542995d831811c0,hotpotqa,Where is Greensky Bluegrass band's home and location of where they created their first album?,"[""Bell's Brewery, Inc.""]",multi,prose,"[""Bell's Brewery"" ""Live at Bell's""]","[""Bell's Brewery, Inc. is a brewing company based in Kalamazoo, Michigan, with a second brewery in Comstock, Michigan. Bell's Brewery produces the Bell's brand of beers. Bell's also has a brewpub called the Eccentric Cafe.""
 ""Live At Bell's is the third release from the winners of the 2006 Telluride Bluegrass Festival Band Competition, Greensky Bluegrass. Recorded in the summer of 2007 at their home base of Bell's Brewery, this album is the first""]",2,['p000004' 'p000005']
hotpot_5ac415445542995c82c4acb7,hotpotqa,Who played Amelia Vanek in the film adaptation of Monster?,"['Esther ""Essie"" Davis']",multi,prose,['Essie Davis' 'The Babadook'],"['Esther ""Essie"" Davis (born January 7, 1970) is an Australian actress. She is best known for her roles as Phryne Fisher in ""Miss Fisher\'s Murder Mysteries"" and Amelia Vanek in ""The Babadook"". Other major work has included a recurring role in season six of the TV series ""Game of Thrones"", and a role as Elizabeth Woodville in the TV series ""The White Princess"", an adaptation of Philippa Gregory\'s historical novel.'
 'The Babadook is a 2014 Australian psychological horror film written and directed by Jennifer Kent in her directorial debut, and produced by Kristina Ceyton and Kristian Moliere. The film stars Essie Davis, Noah Wiseman, Daniel Henshall, Hayley McElhinney, Barbara West, and Ben Winspear. It is based on the 2005 short film ""Monster"", also written and directed by Kent.']",2,['p000015' 'p000017']
hotpot_5ac235e355429951e9e684a2,hotpotqa,What collaboration with DJ Muggs did Gary Grice participate do in 2005?,['Grandmasters'],multi,prose,['GZA' 'Pain Language'],"['Gary Grice (born August 22, 1966), better known by his stage names GZA ( ) and The Genius, is an American rapper and songwriter. A founding member of the hip hop group the Wu-Tang Clan, GZA is known as the group\'s ""spiritual head"", being both the oldest and the first within the group to receive a record deal. He has appeared on his fellow Clan members\' solo projects, and since the release of his critically acclaimed solo album ""Liquid Swords"" (1995), he has maintained a successful solo career.'
 'Pain Language is a collaborative album by producer DJ Muggs and rapper Planet Asia, released on September 16, 2008 on Gold Chain Music. The album is the third in the ""DJ Muggs vs. "" series, following his 2005 collaboration with GZA, ""Grandmasters"", and his 2007 collaboration with Sick Jacken, ""Legend of the Mask and the Assassin"". Album guests include GZA of Wu-Tang Clan, Killah Priest and Prodigal Sunn of Sunz of Man, B-Real of Cypress Hill, Chace Infinite of Self Scientific, Sick Jacken, and Scratch, formerly of The Roots. The album\'s first single will be ""9mm"" b/w ""That\'s What It Is"", which was made available for free download through SoulAssassins.com.']",2,['p000021' 'p000028']
hotpot_5a7a7dc15542994f819ef1f2,hotpotqa,"Who was born first, Andy Warhol or Alexander Butler?",['Alexander Butler'],multi,prose,['Alexander Butler' 'Andy Warhol'],"['Alexander Butler was a British film director who made over sixty features and short films during the 1910s and 1920s including many for G.B. Samuelson\'s production company. Butler directed several British films in Hollywood in 1920, where Samuelson had made an arrangement with Universal Pictures. Amongst his notable films are the Sherlock Holmes adaptation ""The Valley of Fear"" (1916) and the early British horror film ""The Beetle"" (1919).'
 'Andy Warhol ( ; born Andrew Warhola; August 6, 1928 – February 22, 1987) was an American artist, director and producer who was a leading figure in the visual art movement known as pop art. His works explore the relationship between artistic expression, celebrity culture, and advertising that flourished by the 1960s, and span a variety of media, including painting, silkscreening, photography, film, and sculpture. Some of his best known works include the silkscreen paintings ""Campbell\'s Soup Cans"" (1962) and ""Marilyn Diptych"" (1962), the experimental film ""Chelsea Girls"" (1966), and the multimedia events known as the ""Exploding Plastic Inevitable"" (1966–67).']",2,['p000030' 'p000031']
hotpot_5a8bd49d5542997f31a41dd7,hotpotqa,"Who is this American cartoonist, writer, producer, animator, and voice actor that worked with this multiple Shuster Award, Harvey Award and Eisner Award nominee and an Eisner Award–winning comic book creator?",['Matt Groening'],multi,prose,['Ian Boothby' 'Matt Groening'],"['Ian Boothby is a multiple Shuster Award, Harvey Award and Eisner Award nominee and an Eisner Award–winning comic book creator best known for his work as the lead writer on ""Simpsons Comics"" and ""Futurama Comics"" for Matt Groening\'s Bongo Comics. Boothby has written more ""Simpsons Comics"" than any other writer. He has also worked on various Canadian television series and is a well known stand-up, sketch and improv comedian working in the Vancouver area. He co-created Free Willie Shakespeare for the Vancouver Theatresports League which won the Jessie Richardson Theatre Award for Excellence in Interactive Theatre.'
 'Matthew Abraham ""Matt"" Groening ( ; born February 15, 1954) is an American cartoonist, writer, producer, animator, and voice actor. He is the creator of the comic strip ""Life in Hell"" (1977–2012) and the television series ""The Simpsons"" (1989–present), ""Futurama"" (1999–2003, 2008–2013), and the upcoming ""Disenchantment"" (2018). ""The Simpsons"" has gone on to become the longest-running U.S. primetime-television series in history, as well as the longest-running animated series and sitcom.']",2,['p000041' 'p000045']
hotpot_5a8f6a025542992414482ab8,hotpotqa,The series in which Sharon Gless played Debbie Novotny was developed and written by who?,['Ron Cowen and Daniel Lipman'],multi,prose,['Queer as Folk (U.S. TV series)' 'Sharon Gless'],"['Queer as Folk is an American-Canadian drama television series. The series ran between December 3, 2000 to August 7, 2005 and was produced for Showtime and Showcase by Cowlip Productions, Tony Jonas Productions, Temple Street Productions and Showtime Networks in association with Crowe Entertainment. It was developed and written by Ron Cowen and Daniel Lipman, who were the showrunners, and also the executive producers along with Tony Jonas, former President of Warner Bros. Television.'
 'Sharon Marguerite Gless (born May 31, 1943) is an American actress of stage, film and television, who is known for her television roles as Maggie Philbin on ""Switch"" (1975–78), Sgt. Christine Cagney in the police procedural drama series ""Cagney & Lacey"" (1982–88), the title role in ""The Trials of Rosie O\'Neill"" (1990–92), as Debbie Novotny in the Showtime cable television series ""Queer as Folk"" (2000–2005), and as Madeline Westen on ""Burn Notice"" (2007–2013).']",2,['p000055' 'p000059']
hotpot_5a9052765542995651fb513d,hotpotqa,"Which author is an economist, Czesław Miłosz or Bhabananda Deka?",['Prof Bhabananda Deka'],multi,prose,['Bhabananda Deka' 'Czesław Miłosz'],"['Prof Bhabananda Deka (Assamese:ভৱানন্দ ডেকা) (19 August 1929 – 4 December 2006) has been acknowledged as the pioneer Assam economist and author, who conducted path-breaking research for the very first time on the economy of the far eastern part of India. He was also a leading Indian-Assamese litterateur of the famed \'Awahon-Ramdhenu Era\' of Assamese literature during the mid-20th century. He was the author of a total of 115 English and Assamese books including textbooks on a range of fifteen subjects including economics, ancient Assamese literature, philosophy, education, religion, mythology, archaeology, tribal study, poetry, drama, memoirs, civics, political science, biographies; he also edited books and journals. He also authored a variety of research papers and articles about the state of Assam, a state in the north-eastern part of India. He pioneered the writing of books on Economics in Assamese. His Assamese book ""Axomor Arthaneeti"" was the first ever research-based comprehensive book on Assam Economics, which was published for the first time in 1963. Until this book on Assam Economics was published, there was hardly any comprehensive research-based material available on this crucial topic. Because of his monumental social and intellectual contributions to Assam, he had been conferred with the honorary title of \'Asom Ratna\' -- \'Jewel of Assam\' by the intellectuals of Assam on 19 August 2007 at a public meet held under the presidency of Prof. (Dr) Satyendra Narayan Goswami.'
 'Czesław Miłosz ( ; 30 June 1911 – 14 August 2004) was a Polish poet, prose writer, translator and diplomat. His World War II-era sequence ""The World"" is a collection of twenty ""naïve"" poems. Following the war, he served as Polish cultural attaché in Paris and Washington, D.C., then in 1951 defected to the West. His nonfiction book ""The Captive Mind"" (1953) became a classic of anti-Stalinism. From 1961 to 1998 he was a professor of Slavic Languages and Literatures at the University of California, Berkeley. He became a U.S. citizen in 1970. In 1978 he was awarded the Neustadt International Prize for Literature, and in 1980 the Nobel Prize in Literature. In 1999 he was named a Puterbaugh Fellow. After the fall of the Iron Curtain, he divided his time between Berkeley, California, and Kraków, Poland.']",2,['p000060' 'p000069']
hotpot_5a874f20554299211dda2bd6,hotpotqa,"Which European Space Agency astronaut flew more Space Shuttle missions, Hans Schlegel of Germany or first Belgian in space Dirk Frimout?",['Hans Wilhelm Schlegel'],multi,prose,['Dirk Frimout' 'Hans Schlegel'],"['Dirk Dries David Damiaan, Viscount Frimout (born 21 March 1941 in Poperinge, Belgium) is an astrophysicist for the European Space Agency. He flew aboard NASA Space Shuttle mision STS-45 as a payload specialist , making him the first Belgian in space .'
 'Hans Wilhelm Schlegel (Überlingen, 3 August 1951) is a German physicist, an ESA astronaut, and a veteran of two NASA Space Shuttle missions.']",2,['p000072' 'p000074']
hotpot_5ae68a065542991bbc97611e,hotpotqa,How many newspapers are in the group that Hills Valley Weekly is a part of?,['11'],multi,prose,['Hills Valley Weekly' 'Messenger Newspapers'],"['The Hills Valley Weekly (formerly the Hills & Valley Messenger) is a weekly suburban newspaper in Adelaide, part of the Messenger Newspapers group. The ""Hills & Valley\'s"" area is bounded by the Belair National Park in the north-east, and the suburbs of Darlington to the west and Happy Valley to the south. Its western border roughly divides the foothills from the Adelaide plains.'
 'Messenger Newspapers is the publisher of 11 free suburban weekly newspapers together covering the Adelaide metropolitan area. Established by Roger Baynes in Port Adelaide in 1951, ""Messenger"" has since acquired other independent suburban titles to become Adelaide\'s only suburban newspaper group. The paper is a subsidiary of News Limited.']",2,['p000080' 'p000081']
hotpot_5abe80a855429976d4830b43,hotpotqa,The company that Park Joo-mi made her entertainment debut as a model for has its headquarters in what building in Seoul?,['Asiana Town building'],multi,prose,['Asiana Airlines' 'Park Joo-mi'],"[""Asiana Airlines Inc. ( ; formerly Seoul Airlines) is one of South Korea's two major airlines, along with Korean Air. Asiana has its headquarters in Asiana Town building in Seoul. The airline has its domestic hub at Gimpo International Airport and its international hub at Incheon International Airport (70 km from central Seoul).""
 'Park Joo-mi (born October 5, 1972) is a South Korean actress. Park made her entertainment debut as an Asiana Airlines model, then began acting in 1991, starring in television dramas such as ""Beautiful Seoul"" (1999) and ""Feels Good"" (2000). After appearing in ""Ladies of the Palace"", Park married businessman Lee Jang-won in 2001 and temporarily retired from acting to focus on her family (she gave birth to her sons in 2002 and 2007). During this time, Park intermittently appeared in commercials and co-hosted the variety show ""Yeo Yoo Man Man"" from 2003 to 2005. After a nine-year absence, she made her screen comeback in the thriller ""Man of Vendetta"" (2010) and the family drama ""Believe in Love"" (2011). In 2012, Park had been playing Queen Seondeok in the period drama ""The King\'s Dream"" for 18 episodes (of a projected 70), when a car accident on the way to the set resulted in internal injuries, and she had to drop out of the series to undergo medical treatment. Upon her recovery, Park returned to television in 2014 with ""The Story of Kang-gu"".']",2,['p000090' 'p000097']
