check,arm,budget,value,detail
budget_parity,compress_llmlingua,500,493.4,mean realized context tokens
budget_parity,compress_llmlingua,1000,986.6,mean realized context tokens
budget_parity,compress_llmlingua,2000,1964.0,mean realized context tokens
budget_parity,compress_llmlingua,4000,3892.4,mean realized context tokens
budget_parity,graph_select,500,480.6,mean realized context tokens
budget_parity,graph_select,1000,975.2,mean realized context tokens
budget_parity,graph_select,2000,1965.8,mean realized context tokens
budget_parity,graph_select,4000,3941.6,mean realized context tokens
budget_parity,naive_topk,500,481.2,mean realized context tokens
budget_parity,naive_topk,1000,979.1,mean realized context tokens
budget_parity,naive_topk,2000,1975.0,mean realized context tokens
budget_parity,naive_topk,4000,3969.2,mean realized context tokens
budget_parity,naive_topk_dedup,500,481.2,mean realized context tokens
budget_parity,naive_topk_dedup,1000,979.0,mean realized context tokens
budget_parity,naive_topk_dedup,2000,1975.1,mean realized context tokens
budget_parity,naive_topk_dedup,4000,3969.3,mean realized context tokens
budget_parity,rerank_topk,500,481.3,mean realized context tokens
budget_parity,rerank_topk,1000,978.2,mean realized context tokens
budget_parity,rerank_topk,2000,1974.0,mean realized context tokens
budget_parity,rerank_topk,4000,3967.7,mean realized context tokens
budget_parity,summarize_recomp,500,174.4,mean realized context tokens
budget_parity,summarize_recomp,1000,248.8,mean realized context tokens
budget_parity,summarize_recomp,2000,307.2,mean realized context tokens
budget_parity,summarize_recomp,4000,413.6,mean realized context tokens
retrieval_stratification,compress_llmlingua,500,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,compress_llmlingua,500,0.2416,EM | gold_in_pool=True (n=596)
retrieval_stratification,compress_llmlingua,1000,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,compress_llmlingua,1000,0.2802,EM | gold_in_pool=True (n=596)
retrieval_stratification,compress_llmlingua,2000,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,compress_llmlingua,2000,0.3171,EM | gold_in_pool=True (n=596)
retrieval_stratification,compress_llmlingua,4000,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,compress_llmlingua,4000,0.4027,EM | gold_in_pool=True (n=596)
retrieval_stratification,graph_select,500,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,graph_select,500,0.2886,EM | gold_in_pool=True (n=596)
retrieval_stratification,graph_select,1000,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,graph_select,1000,0.3255,EM | gold_in_pool=True (n=596)
retrieval_stratification,graph_select,2000,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,graph_select,2000,0.3523,EM | gold_in_pool=True (n=596)
retrieval_stratification,graph_select,4000,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,graph_select,4000,0.3725,EM | gold_in_pool=True (n=596)
retrieval_stratification,naive_topk,500,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,naive_topk,500,0.4899,EM | gold_in_pool=True (n=596)
retrieval_stratification,naive_topk,1000,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,naive_topk,1000,0.5017,EM | gold_in_pool=True (n=596)
retrieval_stratification,naive_topk,2000,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,naive_topk,2000,0.5101,EM | gold_in_pool=True (n=596)
retrieval_stratification,naive_topk,4000,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,naive_topk,4000,0.5168,EM | gold_in_pool=True (n=596)
retrieval_stratification,naive_topk_dedup,500,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,naive_topk_dedup,500,0.4849,EM | gold_in_pool=True (n=596)
retrieval_stratification,naive_topk_dedup,1000,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,naive_topk_dedup,1000,0.5017,EM | gold_in_pool=True (n=596)
retrieval_stratification,naive_topk_dedup,2000,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,naive_topk_dedup,2000,0.5101,EM | gold_in_pool=True (n=596)
retrieval_stratification,naive_topk_dedup,4000,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,naive_topk_dedup,4000,0.5168,EM | gold_in_pool=True (n=596)
retrieval_stratification,rerank_topk,500,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,rerank_topk,500,0.5201,EM | gold_in_pool=True (n=596)
retrieval_stratification,rerank_topk,1000,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,rerank_topk,1000,0.5252,EM | gold_in_pool=True (n=596)
retrieval_stratification,rerank_topk,2000,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,rerank_topk,2000,0.5352,EM | gold_in_pool=True (n=596)
retrieval_stratification,rerank_topk,4000,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,rerank_topk,4000,0.5302,EM | gold_in_pool=True (n=596)
retrieval_stratification,summarize_recomp,500,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,summarize_recomp,500,0.4111,EM | gold_in_pool=True (n=596)
retrieval_stratification,summarize_recomp,1000,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,summarize_recomp,1000,0.4513,EM | gold_in_pool=True (n=596)
retrieval_stratification,summarize_recomp,2000,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,summarize_recomp,2000,0.4765,EM | gold_in_pool=True (n=596)
retrieval_stratification,summarize_recomp,4000,0.0,EM | gold_in_pool=False (n=4)
retrieval_stratification,summarize_recomp,4000,0.495,EM | gold_in_pool=True (n=596)
